"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"Kepler-1641 c",0,13.2714435994471,0.263,32.657212,-6.11921535972372,0.201866825624739,0.894100789965705,325.516572502151,-27.331552322839,112.199728724008,969.328926418899,1.85356777382893,"transit",2016,"16/05/10","19 45 26","+41 34 28",612.762273488734,1.12,1.19,-0.02,6152,9.75933429935183,"Confirmed planets",0
"Kepler-1642 b",0,-11.6391754556118,0.285,12.2057513,-15.4642634460879,-0.00924670099311084,-102.261762766158,312.25507658528,-11.0139085799041,99.1724824357728,-34.188282835312,1.22255078180825,"transit",2016,"16/05/10","19 48 51","+43 38 37",1343.92240214449,0.88,0.84,-0.01,5355,-0.460108659420606,"Confirmed planets",0
"Kepler-1642 c",0,-1.40841044083837,0.237,6.6513802,31.6870526247469,0.463054031419896,61.8118029376728,179.601751319068,129.900695288991,82.7595693135403,580.382823579047,0.221960672138596,"transit",2016,"16/05/10","19 48 51","+43 38 37",1650.91086569806,0.88,0.84,-0.01,5355,-1.53739749903386,"Confirmed planets",0
"Kepler-1643 b",0,-13.3439468397889,0.205,5.34264507,-9.17629705769017,0.0418887111561566,178.029885169792,200.226506641346,77.3912336357842,112.310720583599,417.737987255564,1.78330352899792,"transit",2016,"16/05/10","20 01 43","+44 45 04",1386.07483735091,0.92,0.88,-0.01,5508,0.126136908937972,"Confirmed planets",0
"Kepler-1644 b",0,-5.18738857661794,0.168,21.0907758,-2.55480018818423,-0.0468158745901312,188.88969365757,238.340807459451,76.2208417063114,71.5302389329825,783.738366026378,1.44790732665281,"transit",2016,"16/05/10","19 01 54","+48 02 06",1887.95954139011,0.89,0.86,-0.1,5499,3.03784388111497,"Confirmed planets",0
"Kepler-1645 b",0,5.96137625611153,0.159,16.1779561,-7.66910667651784,0.0175096822541448,129.87893972223,246.720482892666,-14.3162907218328,77.4620351755666,815.302073667164,1.48498294956142,"transit",2016,"16/05/10","19 49 55","+48 25 07",1548.30219431263,1.02,1.02,0.04,5812,15.1821544660508,"Confirmed planets",0
"Kepler-1646 b",0,-13.2230678190894,0.11,4.48558383,-1.1031149413821,0.212336961410538,13.645057795786,11.0047740205374,178.458027732805,130.205651034417,-953.065971307484,1.13552129504392,"transit",2016,"16/05/10","19 10 06","+42 54 46",-73.1445485529393,0.24,0.26,0.04,3299,0.603034349467618,"Confirmed planets",1
"Kepler-1647 b",1,1.52,1.06,1107.5923,2.7205,0.0581,155.0464,241.929586892721,59.0336079959055,90.0972,1238.7643589061,2.87390918363257,"transit",2015,"16/10/14","19 52 36","+40 39 22",751.204030263874,1.21586821125629,3.45158112389409,0.00393599899969414,6314.13288744067,7.48624359541251,"Confirmed planets, Planets in binary systems, P-type",0
"Kepler-165 b",0,3.04097865647013,0.21142,8.180848,12.2172458054475,0.097482471853747,66.0862327126859,151.337184805672,137.875915018312,81.6118727977214,854.036960106822,1.14160300759348,"transit",2014,"14/02/26","18 42 45","+47 48 35",644.43,0.79,0.77,-0.14712729702899,5211,2.25487711164259,"Confirmed planets",0
"Kepler-165 c",0,3.14406909909391,0.20322,15.31299,-16.8820167591424,0.0546130456153668,372.728685615184,217.775745946098,139.067822585797,74.9538488216154,945.660169286815,1.11088464447489,"transit",2014,"14/02/26","18 42 45","+47 48 35",644.43,0.79,0.77,-0.22483146582035,5211,3.81560929083721,"Confirmed planets",0
"Kepler-166 b",0,10.7630887319883,0.20687,7.650254,-12.3618092867791,-0.159483808466131,144.651523210472,126.579096572694,77.6952594694764,62.9507758995559,1061.45255305123,2.76012074234395,"transit",2014,"14/02/26","19 32 38","+48 52 52",639.62,0.879,0.742,-0.257835771191245,5413,7.16281659527517,"Confirmed planets",0
"Kepler-166 c",0,16.4706535479372,0.21689,34.260281,-12.4459182627182,0.404824914163964,45.7828376553068,336.598716510677,5.02180163642721,106.424215230127,804.520177243091,2.3207508042993,"transit",2014,"14/02/26","19 32 38","+48 52 52",639.62,0.879,0.742,-0.166425792886349,5413,7.39139610774403,"Confirmed planets",0
"Kepler-166 d",0,-7.1112493332605,0.154,1.55400393,23.5746355633457,0.306092044003689,45.3198387908061,324.903604812032,63.418476619977,91.2526512346402,929.689543038056,0.873970688103811,"transit",2016,"16/05/10","19 32 38","+48 52 52",639.62,0.879,0.742,0.00280570240384827,5413,7.58443706483277,"Confirmed planets",0
"Kepler-167 b",0,-3.91726530470073,0.13214,4.393147,12.0092060459561,0.319161759348222,-39.2363419655078,120.926276109806,117.361651639587,105.774549086214,-405.807836201211,0.240496305154196,"transit",2014,"14/02/26","19 30 38","+38 20 43",344.68,0.713,0.696,-0.232546448359493,4796,-0.0373817713780786,"Confirmed planets",0
"Kepler-167 c",0,10.3733634208848,0.12485,7.406097,-33.707531554544,-0.0219556797914519,261.894148082065,101.042637238846,235.476477039107,78.1904483807636,245.636634495717,1.05698637922221,"transit",2014,"14/02/26","19 30 38","+38 20 43",344.68,0.713,0.696,0.138298536769034,4796,6.65096808540005,"Confirmed planets",0
"Kepler-168 b",0,15.5666317685668,0.13305,4.425391,-16.9818420272051,-0.0762792464227014,113.320969062386,151.379532523073,103.200147187259,65.6103620321962,816.940918566178,2.10513907365318,"transit",2014,"14/02/26","19 38 50","+39 49 30",1230.24,1.12,1.107,0.198141708711826,6282,11.2199217931155,"Confirmed planets",0
"Kepler-168 c",0,13.7719807784882,0.24514,13.193242,-18.0391837520479,-0.0465326701857166,0.437268226826774,255.593718816629,7.8383924986654,84.9778937555331,431.811530196612,2.49817103415832,"transit",2014,"14/02/26","19 38 50","+39 49 30",1230.24,1.12,1.107,-0.0229338461742786,6282,8.96243275784467,"Confirmed planets",0
"Kepler-169 b",0,4.10467061258286,0.10298,3.250619,31.7880703959015,0.479313971062847,241.604770273205,64.1863755683041,280.371288864568,75.8474434466387,660.870672058017,0.465719675691138,"transit",2014,"14/02/26","19 03 59","+40 55 09",443.8,0.918,0.763,0.183778742789338,4997,6.13387048002824,"Confirmed planets",0
"Kepler-169 c",0,-0.253144828833322,0.11027,6.195469,6.47806618963027,0.333269147816377,-85.4626625269823,389.339222692536,16.3336527414301,72.4941225355337,898.900725333296,0.693642667865759,"transit",2014,"14/02/26","19 03 59","+40 55 09",443.8,0.918,0.763,0.0109882914127994,4997,4.54637547070991,"Confirmed planets",0
"Kepler-169 d",0,4.50038508816933,0.11391,8.348125,-24.6011780446186,0.120920740297014,158.286298119559,107.858139959252,209.551292820525,80.7896681071295,328.05583657483,1.4229064680459,"transit",2014,"14/02/26","19 03 59","+40 55 09",443.8,0.918,0.763,0.12356354385181,4997,0.0532955303572811,"Confirmed planets",0
"Kepler-169 e",0,-5.50036286876557,0.20049,13.767102,-11.5970109248082,0.0825000324487898,-3.91950280846248,196.683889995649,41.2213887102618,88.1630419500571,-15.1918945814533,2.45729271216161,"transit",2014,"14/02/26","19 03 59","+40 55 09",443.8,0.918,0.763,-0.0568386722877894,4997,6.67630027105483,"Confirmed planets",0
